id,continent,country,incomeperperson,alcconsumption,breastcancerper100th,co2emissions,femaleemployrate,HIVrate,lifeexpectancy,suicideper100th,employrate,urbanrate,breastcancernbdeaths
85,Africa,Kenya,468.69604355829,3.88,25.2,283583666.666667,66.5999984741211,6.3,57.134,10.9377183914185,73.1999969482422,21.6,1699
86,Asia,Korea Dem. Rep.,0,,20.4,5896388666.66667,56,,68.846,4.73567342758179,64.5999984741211,62.68,517
87,Asia,Korea Rep.,16372.4997808892,19.15,20.4,9666891666.66666,48,0.06,80.642,22.40456,58.9000015258789,81.46,1201
88,Asia,Kuwait,0,0.1,31.8,1712755000,42,,74.576,1.49805742428412,65.6999969482422,98.36,83
89,Asia,Kyrgyzstan,372.728414000128,4.72,23,87970666.6666667,48.7999992370606,0.3,67.714,9.875281,58.9000015258789,36.28,258
90,Asia,Laos,554.87984007104,6.99,10.9,21332666.6666667,78.0999984741211,0.2,67.484,26.2191982269287,78.1999969482422,30.88,94
91,Europe,Latvia,5011.21945633632,13.45,44.3,125755666.666667,50.7000007629394,0.7,73.339,20.36959,56.7999992370606,68.12,421
92,Asia,Lebanon,6746.61263178936,2.3,52.5,428006333.333333,22.2999992370605,0.1,72.64,5.8383150100708,46,86.96,362
93,Africa,Lesotho,495.734246943527,5.56,13.1,,49.7999992370606,23.6,48.196,7.85861921310425,56.2999992370606,25.46,77
94,Africa,Liberia,155.033231230204,5.07,18.8,38991333.3333333,53.2000007629394,1.5,56.786,7.18485260009766,66,60.14,119
95,Africa,Libya,7885.46803690446,0.1,23.4,1414031666.66667,23.2000007629395,,74.788,4.66702461242676,48.5999984741211,77.54,325
96,Europe,Lithuania,5332.23859142075,16.3,38.5,226255333.333333,48.7999992370606,0.1,72.231,33.34186,53.0999984741211,66.96,549
97,Europe,Luxembourg,52301.5871789984,12.84,82.5,592012666.666667,45.9000015258789,0.3,79.963,12.4059181213379,53.5,82.44,75
98,Europe,Macedonia FYR,2221.18566404139,8.94,52.1,168883000,26.7999992370605,,74.847,7.87687826156616,34.9000015258789,66.9,235
99,Africa,Madagascar,242.677534160129,1.32,19.5,62777000,79.1999969482422,0.2,66.718,5.76740646362305,83,29.52,729
100,Africa,Malawi,184.141796591644,1.44,10.5,28490000,69,11,54.21,10.1717348098755,71.8000030517578,18.8,272
101,Asia,Malaysia,5184.70932756049,0.87,30.8,2670950333.33333,43.0999984741211,0.5,74.221,8.21106719970703,60.5,70.36,1292
102,Africa,Mali,269.892881119738,0.99,18.2,17515666.6666667,34.4000015258789,1,51.444,8.2628927230835,45.7000007629394,32.18,499
103,Europe,Malta,11066.7841447174,4.1,76.1,73784333.3333333,30.1000003814697,0.1,79.634,4.5511212348938,46.7999992370606,94.26,94
104,Africa,Mauritania,609.131205921911,0.11,28.1,56818666.6666667,45.2999992370606,0.7,58.582,6.88295221328735,46.9000015258789,41,185
105,Africa,Mauritius,5182.14372064153,3.53,31.6,59473333.3333333,36.2999992370606,1,73.373,8.08154,54.5,42.48,57
106,North America,Mexico,6105.28074296134,8.55,26.4,13304503666.6667,39.5999984741211,0.3,76.954,4.288574,57.9000015258789,77.2,4310
107,Europe,Moldova,595.874534521728,23.01,49.6,149904333.333333,43.5999984741211,0.4,69.317,15.53849,44.2999992370606,41.76,496
108,Asia,Mongolia,772.933344800758,3.41,6.6,300934333.333333,50.9000015258789,0.06,68.498,13.0896158218384,52.0999984741211,57.18,31
109,Africa,Morocco,1844.35102762401,1.24,22.5,953051000,22.2000007629395,0.1,72.15,2.10941362380981,46.2000007629394,56.02,2003
110,Africa,Mozambique,389.763634253063,2.27,3.9,107096000,82.1999969482422,11.5,50.239,10.5503749847412,77,36.84,170
111,Asia,Myanmar,0,0.58,20.2,322960000,66.5,0.6,65.193,10.1149969100952,74.6999969482422,32.58,1800
112,Africa,Namibia,2667.24670973056,12.09,24.7,26209333.3333333,37.2999992370606,13.1,62.465,8.02196979522705,42,36.84,110
113,Asia,Nepal,268.259449511417,2.42,21.8,52657000,54.5999984741211,0.4,68.795,11.6552095413208,61.7999992370606,17.24,799
114,Europe,Netherlands,26551.8442381829,9.75,86.7,9483023000,54.2999992370606,0.2,80.734,8.164005,61.2999992370606,81.82,3767
115,Oceania,New Zealand,14778.1639288175,9.99,91.9,1321661000,58.2999992370606,0.1,80.654,12.17976,65,86.56,670
116,North America,Nicaragua,948.355952021311,5.21,23.9,109681000,36,0.2,74.044,12.1222686767578,58.7999992370606,56.74,145
117,Africa,Niger,180.083376000006,0.34,23.3,30800000,38,0.8,54.675,9.2579755783081,60.4000015258789,16.54,484
118,Africa,Nigeria,544.599476657726,12.72,31.2,2386820333.33333,36.5,3.6,51.879,7.63104963302612,50.9000015258789,48.36,8454
119,Europe,Norway,39972.3527684608,8.35,74.8,1962704333.33333,60.9000015258789,0.1,81.097,10.823,65,77.48,726
120,Asia,Oman,11191.8110074347,0.92,13.2,487993000,22.6000003814697,0.1,72.974,3.71673941612244,50.7000007629394,71.62,43
121,Asia,Pakistan,668.54794303958,0.05,50.1,2329308666.66667,19,0.1,65.437,12.8698148727417,51,36.16,11194
122,North America,Panama,5900.61694445396,7.3,29,170404666.666667,43.4000015258789,0.9,76.128,6.1052818998346,59.7999992370606,73.2,154
123,Oceania,Papua New Guinea,744.23941319297,3.64,17.3,88337333.3333333,68.9000015258789,0.9,62.791,11.9569406509399,70.4000015258789,12.54,118
124,South America,Paraguay,1621.17707762392,7.91,34.4,95256333.3333333,65.3000030517578,0.3,72.477,4.409532,73.0999984741211,60.3,265
125,South America,Peru,3180.43061177196,6.53,35.1,1146277000,59.7999992370606,0.4,73.99,1.65890777111053,68.3000030517578,71.4,1497
126,Asia,Philippines,1383.40186887912,6.08,46.6,2008116000,46.7999992370606,0.06,68.749,1.92248511314392,61,64.92,7582
127,Europe,Poland,6575.7450438731,14.43,50.3,23053598333.3333,42.0999984741211,0.1,76.126,13.63706,48.7000007629394,61.32,4781
128,Europe,Portugal,11744.8341671737,13.89,55.5,1865922666.66667,50.5999984741211,0.6,79.499,8.18837547302246,57.5999984741211,59.46,1542
129,North America,Puerto Rico,15822.1121405699,,50.4,,34.5999984741211,,79.158,,42.4000015258789,98.32,384
130,Asia,Qatar,33931.8320786356,1.29,33.3,811965000,39.5999984741211,0.06,78.371,2.5157208442688,76,95.64,23
131,Europe,Romania,2636.78779985257,16.15,44.3,7104137333.33333,43.7999992370606,0.1,73.979,10.05932,49.5,54.24,2982
132,Europe,Russia,2923.1443547617,16.23,38.8,23404568000,53.7999992370606,1,68.823,27.87416,58.7999992370606,72.84,21582
133,Africa,Rwanda,338.266391227048,9.99,8.8,20152000,80.5,2.9,55.442,13.1179485321045,79.8000030517578,18.34,191
134,Oceania,Samoa,1784.07128376035,4.51,34.2,4352333.33333334,,,72.444,5.54232358932495,,23,9
135,Asia,Saudi Arabia,9425.32586978275,0.34,24.7,7861553333.33333,17.7000007629395,,73.911,6.40153789520264,51.2000007629394,82.42,677
136,Africa,Senegal,561.70858483041,0.51,18.4,127108666.666667,56.9000015258789,0.9,59.318,6.81143856048584,65.5999984741211,42.38,394
137,Europe,Serbia and Montenegro,0,,58.4,,41.0999984741211,,,14.4696483612061,48.7000007629394,0,1729
138,Africa,Sierra Leone,268.331790297681,9.48,28.1,29758666.6666667,63.4000015258789,1.6,47.794,11.9804973602295,63.7999992370606,37.76,321
139,Asia,Singapore,32535.8325120712,1.54,48.7,1548044666.66667,51.2999992370606,0.1,81.126,9.127511,62.4000015258789,100,394
140,Europe,Slovak Republic,8445.5266887449,13.31,48,590674333.333333,45.2999992370606,0.06,75.446,10.64574,53.4000015258789,56.56,820
141,Europe,Slovenia,12729.4543999442,14.94,58.9,214368000,49.4000015258789,0.06,79.341,19.42261,55.9000015258789,48.6,400
142,Oceania,Solomon Islands,1144.10219337041,1.37,29.8,5210333.33333334,51.2999992370606,,67.852,4.4847526550293,65,17.96,17
143,Africa,Somalia,0,0.5,19.5,16379000,50.7000007629394,0.7,51.219,29.864164352417,66,36.52,368
144,Africa,South Africa,3745.64985213146,10.16,35,14609848000,34.2999992370606,17.8,52.797,15.7145709991455,41.0999984741211,60.74,2790
145,Europe,Spain,15461.7583724074,11.83,50.9,10822529666.6667,41.7000007629394,0.4,81.404,5.888479,52.5,77.12,5914
146,Asia,Sri Lanka,1295.74268608629,0.81,23.6,253854333.333333,39.2000007629394,0.06,74.941,28.1040458679199,55.0999984741211,15.1,948
147,Africa,Sudan,523.950151490192,2.56,22.5,225019666.666667,27.8999996185303,1.1,61.452,9.70955562591553,47.2999992370606,43.44,1856
148,South America,Suriname,2668.02051890396,6.56,30,86317000,30.3999996185303,1,70.563,20.7474308013916,44.7000007629394,74.92,23
149,Africa,Swaziland,1810.23053262504,5.05,12.3,22704000,47.0999984741211,25.9,48.718,12.8722219467163,50.9000015258789,24.94,27
150,Europe,Sweden,32292.4829838735,9.5,87.8,4286590000,56.7000007629394,0.1,81.439,11.11583,60.7000007629394,84.54,1516
151,Europe,Switzerland,37662.751249706,11.41,81.7,2406741333.33333,57,0.4,82.338,13.23981,64.3000030517578,73.48,1404
152,Asia,Syria,1525.78011590162,1.49,44.8,1436893333.33333,16.7000007629395,,75.85,0.52352756261826,44.7999992370606,54.22,955
153,Asia,Tajikistan,279.180452556006,3.39,13.2,104170000,50.0999984741211,0.2,67.529,2.64898085594177,54.5999984741211,26.46,135
154,Africa,Tanzania,456.385711651118,7.86,21.1,100782000,76.0999984741211,5.6,58.199,12.4111814498901,78.1999969482422,25.52,1626
155,Asia,Thailand,2712.51719873012,7.08,16.6,4200940333.33333,65,1.3,74.126,9.84745979309082,72,33.32,1980
156,Africa,Togo,285.224449254519,1.92,28.1,32233666.6666667,48.4000015258789,3.2,57.062,6.3698878288269,63.9000015258789,42,310
157,North America,Trinidad and Tobago,10480.8172032185,6.16,51.1,,50.5,1.5,70.124,14.5471668243408,61.5,13.22,140
158,Africa,Tunisia,3164.9276932512,1.05,19.6,525891666.666667,21.3999996185303,0.06,74.515,3.1468141078949,41.5999984741211,66.5,613
159,Europe,Turkey,5348.59719186494,3.02,22,5675629666.66667,21.8999996185303,0.06,73.979,3.56332468986511,42.7999992370606,68.68,2970
160,Asia,Turkmenistan,2062.1251523574,5,17.9,531303666.666667,53.9000015258789,,64.986,12.2167692184448,58.5,48.62,155
161,Africa,Uganda,377.421113256942,16.4,18.3,49793333.3333333,80,6.5,54.116,12.2891216278076,83.1999969482422,12.98,838
162,Europe,Ukraine,1036.830724903,17.47,39.9,5584766000,49.4000015258789,1.1,68.494,18.95457,54.4000015258789,67.98,7892
163,Asia,United Arab Emirates,21087.3941247583,0.52,24.1,2315698000,37.2999992370606,,76.546,1.39295065402985,75.1999969482422,77.88,77
164,Europe,United Kingdom,28033.4892827622,13.24,87.2,72524250333.3333,53.0999984741211,0.2,80.17,6.014659,59.2999992370606,89.94,13303
165,North America,United States,37491.1795229012,9.7,101.1,334220872333.333,56,0.6,78.531,9.927033,62.2999992370606,81.7,42913
166,South America,Uruguay,9106.32723421876,8.99,83.1,275744333.333333,46,0.5,77.005,14.53727,57.5,92.3,637
167,Asia,Uzbekistan,952.827260827539,3.61,17.3,1718339333.33333,52.5999984741211,0.1,68.287,5.21372,57.5,36.82,789
168,Oceania,Vanuatu,1543.95645667048,0.96,24,2977333.33333333,,,71.017,4.98342180252075,,24.76,7
169,South America,Venezuela,5528.36311387522,7.6,34.3,5418886000,45.7999992370606,,74.402,4.11962,59.9000015258789,93.32,1327
170,Asia,Vietnam,722.807558834445,3.91,16.2,1425435000,67.5999984741211,0.4,75.181,11.6533222198486,71,27.84,2284
171,Asia,Yemen Rep.,610.3573673206,0.2,35.1,234864666.666667,20.2999992370605,,65.493,6.26578903198242,39,30.64,787
172,Africa,Zambia,432.226336974583,3.56,13,132025666.666667,53.5,13.5,49.025,12.0190362930298,61,35.42,289
173,Africa,Zimbabwe,320.771889948584,4.96,19,590219666.666666,58.0999984741211,14.3,51.384,13.9052667617798,66.8000030517578,37.34,489
